corpus_id,seed_type,category,title,authors,year,journal,doi,pmid,primary_topic,doc_type,recency_flag,geo_scope,population,evidence_type,selection_source,rationale,role
MS-T1-001,core,Mechanistic Review,Multiple sclerosis (Lancet Seminar),"Compston A, Coles A",2008,The Lancet,https://doi.org/10.1016/S0140-6736(08)61620-7,18970977,TOPIC-01 Disease Overview,Mechanistic Review,⚓,Europe,Adult,Narrative Review,Seed — Topic 1A,Foundational field-wide overview establishing RRMS/SPMS/PPMS taxonomy and diagnostic vocabulary prerequisite to all other topics; large forward citation neighborhood bridges 2008–2024 literature,seed-foundational
MS-T1-002,core,Consensus/Guideline,Diagnosis of MS: 2017 revisions of McDonald Criteria,Thompson AJ et al.,2018,Lancet Neurology,https://doi.org/10.1016/S1474-4422(17)30470-2,29275977,TOPIC-01 Disease Overview,Consensus/Guideline,✅,Multi-regional,Adult,Consensus,Seed — Topic 1B,Current diagnostic standard; McDonald criteria are the operational definition of MS; every diagnostic and monitoring paper refers to this consensus,seed-current
MS-T1-003,core,Natural History/Registry,Relapses and progression of disability in MS (Lyon cohort),Confavreux C et al.,2000,NEJM,https://doi.org/10.1056/NEJM200011163432001,11078767,TOPIC-1b Natural History,Natural History/Registry,⚓,Europe,Adult,Natural History,Seed — Topic 1bA,Established that disability progression proceeds independently of relapses; conceptual foundation of progressive MS research agenda; Lyon cohort NEJM paper is the field's baseline for DMT trial effect interpretation,seed-foundational
MS-T1-004,core,Natural History/Registry,Natural history of MS: a unifying concept,"Confavreux C, Vukusic S",2006,Brain,https://doi.org/10.1093/brain/awl007,16415308,TOPIC-1b Natural History,Natural History/Registry,⚓,Europe,Adult,Natural History,Seed — Topic 1bB,Unifying natural history model; companion to NEJM 2000 Lyon cohort; establishes age-dependent progression floor independent of phenotype; generates large foundational citation neighborhood,seed-foundational
MS-T1-005,core,Mechanistic Review,Multiple sclerosis pathology,Lassmann H,2018,Cold Spring Harb Perspect Med,https://doi.org/10.1101/cshperspect.a028936,28716815,TOPIC-02 Pathophysiology,Mechanistic Review,✅,Europe,Adult,Narrative Review,Seed — Topic 2A,Authoritative pathology synthesis from the leading histopathologist in MS; demyelination lesion heterogeneity; axonal loss; shadow plaques; essential for understanding why imaging correlates imperfectly with disability,seed-current
MS-T1-006,core,Mechanistic Review,MS: an immune or neurodegenerative disorder?,"Trapp BD, Nave KA",2008,Ann Rev Neuroscience,https://doi.org/10.1146/annurev.neuro.30.051606.094313,18558855,TOPIC-02 Pathophysiology,Mechanistic Review,⚓,North America,Adult,Narrative Review,Seed — Topic 2B,Foundational framing of the immune-vs-neurodegeneration duality; explains why peripheral immunosuppression fails to prevent progressive disability; Trapp axonal damage work is widely cited across the entire pathophysiology literature,seed-foundational
MS-T1-007,core,Epidemiological/Burden,MS genomic map (IMSGC GWAS),IMSGC,2019,Science,https://doi.org/10.1126/science.aav7188,31604244,TOPIC-03 Genetics,Epidemiological/Burden,✅,Multi-regional,Adult,Observational Cohort,Seed — Topic 3A,Largest MS GWAS to date; 233 risk variants; establishes polygenic architecture and HLA dominance; anchor for all genetic epidemiology papers in the corpus,seed-current
MS-T1-008,core,Mechanistic Review,Genetics of MS: overview and new directions,Patsopoulos NA,2018,Cold Spring Harb Perspect Med,https://doi.org/10.1101/cshperspect.a028951,28716829,TOPIC-03 Genetics,Mechanistic Review,✅,North America,Adult,Narrative Review,Seed — Topic 3B,Mechanistic synthesis of genetic architecture; explains HLA-DRB1 and non-HLA risk; translates GWAS findings into biological pathways; complements IMSGC GWAS with interpretive depth,seed-current
MS-T1-009,core,Epidemiological/Burden,EBV longitudinal analysis and MS,Bjornevik K et al.,2022,Science,https://doi.org/10.1126/science.abj8222,35025605,TOPIC-04 Risk Factors,Epidemiological/Burden,✅,North America,Adult,Observational Cohort,Seed — Topic 4A,Landmark US military cohort establishing causal EBV-MS relationship; 10 million military serum samples; most cited MS risk factor paper since 2020; generates large forward citation pool for emerging etiology literature,seed-current
MS-T1-010,core,Mechanistic Review,Env risk factors for MS Pt I: infection,"Ascherio A, Munger KL",2007,Annals of Neurology,https://doi.org/10.1002/ana.21117,17444504,TOPIC-04 Risk Factors,Mechanistic Review,⚓,North America,Adult,Narrative Review,Seed — Topic 4B,"Comprehensive risk factor synthesis covering EBV, vitamin D, smoking, latitude; foundational framing of multi-factor etiology model; Ascherio group generates large citation neighborhood for environmental epidemiology subfield",seed-foundational
MS-T1-011,core,Consensus/Guideline,2021 MAGNIMS-CMSC-NAIMS MRI consensus,Wattjes MP et al.,2021,Lancet Neurology,https://doi.org/10.1016/S1474-4422(21)00095-8,34139157,TOPIC-05 Diagnosis & Monitoring,Consensus/Guideline,✅,Multi-regional,Adult,Consensus,Seed — Topic 5A,"Current MRI monitoring consensus; covers activity monitoring, treatment response, PML surveillance; widely cited in clinical trial protocols and monitoring guidelines; expands into large imaging and biomarker literature",seed-current
MS-T1-012,core,Epidemiological/Burden,Chronic active MS lesions and disability in vivo,Absinta M et al.,2019,JAMA Neurology,https://doi.org/10.1001/jamaneurol.2019.2399,31424490,TOPIC-05 Diagnosis & Monitoring,Epidemiological/Burden,✅,North America,Adult,Observational Cohort,Seed — Topic 5B,In vivo paramagnetic rim lesion (PRL) validation; connects imaging biomarkers to smoldering disease mechanism; bridges TOPIC-05 and TOPIC-08; central vein sign literature anchor,seed-current
MS-T1-013,core,Mechanistic Review,Neurofilaments as biomarkers in neurological disorders,Khalil M et al.,2018,Nat Rev Neurology,https://doi.org/10.1038/s41582-018-0058-z,30171200,TOPIC-06 Biomarkers,Mechanistic Review,✅,Multi-regional,Adult,Narrative Review,Seed — Topic 6A,Foundational neurofilament light chain (NfL) review; establishes serum NfL as cross-disease biomarker; cited by virtually every subsequent NfL paper; generates very large forward citation neighborhood covering biomarker subfield,seed-current
MS-T1-014,core,Mechanistic Review,Potential of serum NfL as biomarker for MS,Bittner S et al.,2021,Brain,https://doi.org/10.1093/brain/awab241,34259833,TOPIC-06 Biomarkers,Mechanistic Review,✅,Europe,Adult,Narrative Review,Seed — Topic 6B (retired v1.3 — GFAP and McDonald 2024 seeds added; NfL overlap with MS-T1-013),MS-specific serum NfL synthesis; covers treatment monitoring and prognostic applications; bridges NfL biology (TOPIC-06) with DMT monitoring (TOPIC-07) and progressive MS (TOPIC-08); complements Khalil 2018 with MS focus,seed-retired-v1.3
MS-T1-015,core,Landmark RCT,Ocrelizumab vs IFN beta-1a in relapsing MS (OPERA),Hauser SL et al.,2017,NEJM,https://doi.org/10.1056/NEJMoa1601277,28002679,TOPIC-07 DMTs,Landmark RCT,⚠️,Multi-regional,Adult,RCT,Seed — Topic 7A,Pivotal B-cell depletion trial in RRMS; established ocrelizumab standard and anti-CD20 paradigm; most-cited recent MS RCT; generates large forward citation neighborhood covering all subsequent B-cell and DMT papers,seed-aging
MS-T1-016,core,Landmark RCT,Ocrelizumab vs placebo in primary progressive MS (ORATORIO),Montalban X et al.,2017,NEJM,https://doi.org/10.1056/NEJMoa1606468,28002688,TOPIC-08 Progressive MS & Smoldering,Landmark RCT,⚠️,Multi-regional,Adult,RCT,Seed — Topic 8E (redistributed from TOPIC-07 v1.3),Only approved DMT for PPMS; proof-of-concept for B-cell depletion in progressive MS; redistributed to TOPIC-08 to avoid anti-CD20 seed duplication in TOPIC-07; widely cited in progressive MS treatment and PIRA literature,seed-aging
MS-T1-017,core,Consensus/Guideline,Defining clinical course of MS: 2013 revisions,Lublin FD et al.,2014,Neurology,https://doi.org/10.1212/WNL.0000000000000560,24871874,TOPIC-08 Progressive MS,Consensus/Guideline,✅,Multi-regional,Adult,Consensus,Seed — Topic 8A,Current phenotype classification consensus; RRMS/SPMS/PPMS/CIS/RIS definitions used uniformly in clinical trials and clinical care; every phenotype assignment in the corpus references this standard,seed-current
MS-T1-018,core,Mechanistic Review,Smouldering multiple sclerosis: the real MS,Giovannoni G et al.,2022,Ther Adv Neurol Disord,https://doi.org/10.1177/17562864211066751,35096143,TOPIC-08 Progressive MS,Mechanistic Review,✅,Europe,Adult,Narrative Review,Seed — Topic 8B,Smoldering MS conceptual framework; introduces PIRA as primary disability driver; argues that relapse suppression is necessary but not sufficient; generates forward citations in progressive MS and BTK inhibitor literature,seed-current
MS-T1-019,core,Mechanistic Review,Patient-reported outcomes in MS care,Ziemssen T et al.,2019,Mult Scler Relat Disord,https://doi.org/10.1016/j.msard.2019.07.007,31154262,TOPIC-09 PROs,Mechanistic Review,⚠️,Europe,Adult,Narrative Review,Seed — Topic 9A,"PRO instrument landscape including fatigue, cognition, QoL; highlights EDSS limitations; entering aging territory but still widely cited as PRO framework reference; expands into trial endpoint and patient measurement literature",seed-aging
MS-T1-020,core,Epidemiological/Burden,Evaluation of MS disability outcome measures (MSOAC),Ontaneda D et al.,2019,Neurology,https://doi.org/10.1212/WNL.0000000000008519,31645464,TOPIC-09 PROs,Epidemiological/Burden,⚠️,North America,Adult,Observational Cohort,Seed — Topic 9B,MSOAC consortium outcome measure analysis; systematic evaluation of composite endpoints in progressive MS trials; links PRO research to trial design and regulatory context,seed-aging
MS-T1-021,core,Systematic Review/Meta-Analysis,Incidence/prevalence of psychiatric disorders in MS,Marrie RA et al.,2015,Mult Scler Journal,https://doi.org/10.1177/1352458514564487,25583845,TOPIC-10 Comorbidities,Systematic Review/Meta-Analysis,⚠️,North America,Adult,Systematic Review,Seed — Topic 10A,First systematic review of psychiatric comorbidity burden in MS; Marrie group's most-cited comorbidity paper; generates citation neighborhood for the entire comorbidity subfield; aging but foundational,seed-aging
MS-T1-022,core,Mechanistic Review,Cognitive impairment in multiple sclerosis,"Chiaravalloti ND, DeLuca J",2008,Lancet Neurology,https://doi.org/10.1016/S1474-4422(08)70259-X,19007738,TOPIC-10 Comorbidities,Mechanistic Review,⚓,North America,Adult,Narrative Review,Seed — Topic 10B,Foundational cognitive impairment synthesis; processing speed and memory as primary domains affected; still widely cited as the baseline cognitive neuroscience reference for MS; generates forward citations across neuropsychology subfield,seed-foundational
MS-T1-023,core,Natural History/Registry,Rate of pregnancy-related relapse in MS (PRIMS),Confavreux C et al.,1998,NEJM,https://doi.org/10.1056/NEJM199807303390501,9682040,TOPIC-11 Pregnancy,Natural History/Registry,⚓,Europe,Adult,Natural History,Seed — Topic 11A,PRIMS cohort established the pregnancy relapse trajectory (protective during 3rd trimester; rebound post-partum); cited by every subsequent pregnancy/MS paper; generates large foundational citation neighborhood for reproductive MS literature,seed-foundational
MS-T1-024,core,Consensus/Guideline,Family planning considerations in MS,Krysko KM et al.,2023,Lancet Neurology,https://doi.org/10.1016/S1474-4422(22)00426-4,36931808,TOPIC-11 Pregnancy,Consensus/Guideline,✅,Multi-regional,Adult,Consensus,Seed — Topic 11B,"Current clinical guidance on DMT use in pregnancy; washout periods; teratogenicity; breastfeeding; most recent comprehensive consensus replacing 2015-era guidance; expands into post-partum, fertility, and DMT safety literature",seed-current
